"","City_code","lon","lat","num_tweets"
"433","BERWYN IL",-87.79390717,41.85061646,24
"434","BESSEMER AL",-86.95465851,33.40222549,37
"435","BESSEMER CITY NC",-81.28375244,35.28520966,4
"436","BETHALTO IL",-90.04077911,38.90911865,13
"437","BETHEL OH",-84.08042908,38.96363068,1
"438","BETHEL PARK PA",-80.01592255,40.33843613,13
"439","BETHLEHEM PA",-75.36949921,40.62598801,204
"440","BETTENDORF IA",-90.51612854,41.52465439,31
"441","BEVERLY HILLS CA",-118.40197754,34.07383347,474
"442","BEVERLY HILLS MI",-83.22288513,42.52407837,3
"443","BEVERLY MA",-70.87913513,42.55848312,22
"444","BEXLEY OH",-82.93772888,39.96929932,9
"445","BICKNELL IN",-87.30805969,38.77451324,1
"446","BIDDEFORD ME",-70.45225525,43.49275208,4
"447","BIG BEAR LAKE CA",-116.91362,34.24382782,2
"448","BIG LAKE MN",-93.7464447,45.33234787,1
"449","BIG RAPIDS MI",-85.48376465,43.69808578,20
"450","BIG SANDY MT",-110.11911774,48.17901993,3
"451","BIG SANDY TX",-95.10948181,32.58401871,9
"452","BIG SPRING TX",-101.48111725,32.25181198,41
"453","BIG STONE GAP VA",-82.74668884,36.88179398,13
"454","BIGFORK MN",-93.65458679,47.74435425,3
"455","BIGGS CA",-121.71543884,39.41196823,2
"456","BILLERICA MA",-71.26820374,42.55883408,4
"457","BILLINGS MT",-108.50463104,45.7833786,82
"458","BILOXI MS",-88.89369202,30.40021133,83
"459","BINGHAMTON NY",-75.91755676,42.0986557,241
"460","BIRDSBORO PA",-75.80335236,40.26465225,17
"461","BIRMINGHAM AL",-86.80226898,33.52098846,2747
"462","BIRMINGHAM MI",-83.21121216,42.54697418,109
"463","BISBEE AZ",-109.92984772,31.44821548,272
"464","BISCAYNE PARK FL",-80.18003845,25.88322449,1
"465","BISHOP CA",-118.39687347,37.36342239,1
"466","BISHOPVILLE SC",-80.24495697,34.21529007,4
"467","BISMARCK ND",-100.77896118,46.80673981,48
"468","BIXBY OK",-95.88382721,35.94215775,76
"469","BLACK JACK MO",-90.26735687,38.79346085,3
"470","BLACK MOUNTAIN NC",-82.32103729,35.61796188,54
"471","BLACKFOOT ID",-112.34630585,43.1905098,23
"472","BLACKSBURG SC",-81.51545715,35.12131882,1
"473","BLACKSBURG VA",-80.41369629,37.22999573,394
"474","BLACKSTONE VA",-77.99647522,37.08090591,7
"475","BLACKVILLE SC",-81.27037048,33.35803604,4
"476","BLADENSBURG MD",-76.9335556,38.93954849,12
"477","BLAINE MN",-93.23551178,45.171978,7
"478","BLAINE WA",-122.75008392,48.99335098,5
"479","BLAIR NE",-96.12560272,41.544384,4
"480","BLAIRSVILLE GA",-83.95786285,34.87645721,1
"481","BLANCHESTER OH",-83.98893738,39.29340363,1
"482","BLAND MO",-91.63315582,38.30200195,5
"483","BLANKET TX",-98.78768921,31.82418633,1
"484","BLISSFIELD MI",-83.86232758,41.83250046,1
"485","BLOOMFIELD HILLS MI",-83.24560547,42.58376312,17
"486","BLOOMFIELD NJ",-74.18488312,40.8069458,13
"487","BLOOMINGBURG OH",-83.39527893,39.60507202,2
"488","BLOOMINGDALE IL",-88.08078766,41.95762634,3
"489","BLOOMINGDALE NJ",-74.32588959,41.002285,1
"490","BLOOMINGTON IL",-88.99375916,40.48418045,112
"491","BLOOMINGTON IN",-86.53382874,39.16920471,754
"492","BLOOMINGTON MN",-93.29154205,44.82648849,47
"493","BLOOMSBURG PA",-76.45426178,41.00380325,13
"494","BLOOMSDALE MO",-90.21808624,38.00960922,1
"495","BLOSSBURG PA",-77.06325531,41.67986679,2
"496","BLOWING ROCK NC",-81.67708588,36.13526535,1
"497","BLUE ASH OH",-84.37797546,39.23192215,1
"498","BLUE EARTH MN",-94.1026535,43.63752365,6
"499","BLUE HILL ME",-68.588974,44.43393707,1
"500","BLUE HILL NE",-98.4491806,40.3325882,3
"501","BLUE ISLAND IL",-87.67993927,41.657444,12
"502","BLUE RIDGE GA",-84.32199097,34.86791229,3
"503","BLUE RIDGE TX",-96.40189362,33.2983017,1
"504","BLUE SPRINGS MO",-94.2820816,39.01689148,79
