"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"BAKERSFIELD CA",-119.0206375,35.37326813,554,135,154,265,363612
"BAKERSVILLE NC",-82.15859985,36.01586914,2,1,1,0,487
"BALCH SPRINGS TX",-96.62306213,32.72889328,2,0,0,2,24948
"BALDWIN CITY KS",-95.18656921,38.77522659,25,7,7,11,4588
"BALDWIN IL",-89.84280396,38.1832962,2,1,1,0,409
"BALDWIN PARK CA",-117.9624786,34.08519363,14,3,5,6,76602
"BALDWINSVILLE NY",-76.33219147,43.15886307,5,3,0,2,7692
"BALDWYN MS",-88.63553619,34.5099411,24,6,6,12,3139
"BALLSTON SPA NY",-73.84790039,43.00103378,38,13,9,16,5256
"BALLWIN MO",-90.54669189,38.5951004,291,95,69,127,30484
"BALLY PA",-75.58628845,40.40263367,1,0,0,1,1273
"BALTIMORE MD",-76.6115799,39.29075623,9323,2473,2720,4130,622454
"BAMBERG SC",-81.03459167,33.2973938,1,0,0,1,3501
"BANDERA TX",-99.07427216,29.72691536,2,0,0,2,1207
"BANDON OR",-124.4105606,43.11890793,7,2,1,4,3070
"BANGOR ME",-68.77653503,44.80109406,172,48,61,63,32695
"BANGOR PA",-75.20609283,40.86587524,8,1,3,4,5233
"BANKS OR",-123.1168671,45.61822128,1,0,0,1,1580
"BANNING CA",-116.878746,33.92569351,14,3,2,9,30515
"BARABOO WI",-89.74446869,43.47089767,21,5,5,11,12071
"BARBERTON OH",-81.60507965,41.0127182,2,2,0,0,26340
"BARBOURVILLE KY",-83.88861084,36.86665726,8,3,2,3,3172
"BARGERSVILLE IN",-86.16780853,39.52098083,3,1,1,1,6492
"BARLOW KY",-89.04716492,37.05197525,1,0,1,0,675
"BARNESVILLE GA",-84.15583038,33.05487442,7,3,1,3,6609
"BARNWELL SC",-81.35834503,33.24495316,2,1,0,1,4664
"BARRE VT",-72.50119781,44.19706345,4,2,0,2,8885
"BARRINGTON IL",-88.13623047,42.15398788,2,1,1,0,10576
"BARROW AK",-156.7964325,71.29006195,2,0,2,0,4293
"BARSTOW CA",-117.0245132,34.89870071,4,2,1,1,23281
"BARTLESVILLE OK",-95.98135376,36.74737549,7,0,4,3,36360
"BARTLETT IL",-88.18564606,41.9950676,20,3,9,8,41552
"BARTLETT KS",-95.21155548,37.05488205,1,0,1,0,90
"BARTLETT TN",-89.87441254,35.20460892,27,9,7,11,58107
"BARTONVILLE IL",-89.65235138,40.6502037,288,78,79,131,6438
"BARTOW FL",-81.84252167,27.89712715,3,0,1,2,18094
"BASALT CO",-107.0336685,39.36895752,2,1,0,1,3791
"BASSFIELD MS",-89.73988342,31.49684715,2,0,2,0,272
"BASTROP LA",-91.91439819,32.77897644,6,2,1,3,10949
"BASTROP TX",-97.31572723,30.11092758,33,9,12,12,7669
"BATAVIA IA",-92.16798401,40.99414825,3,2,1,0,669
"BATAVIA NY",-78.18697357,42.99835587,27,7,8,12,15188
"BATAVIA OH",-84.17655182,39.07704926,4,1,1,2,1720
"BATESVILLE AR",-91.64100647,35.76984024,4,1,2,1,10479
"BATESVILLE IN",-85.22227478,39.3000145,1,1,0,0,6398
"BATESVILLE MS",-89.94464874,34.31167603,54,12,19,23,7413
"BATH ME",-69.81929779,43.9107132,2,0,0,2,8349
"BATON ROUGE LA",-91.15479279,30.45132256,1650,475,433,742,229186
"BATTLE CREEK MI",-85.17985535,42.32100677,30,11,7,12,51830
"BATTLE GROUND WA",-122.5356064,45.78078842,12,3,4,5,18576
