"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat"
222,"FLORENCE SC",2,1,0,1,0,1,-79.76351166,34.19935226
222,"FLORISSANT MO",2,13,2,7,4,13,-90.32299042,38.78946304
222,"FOREST PARK IL",2,1,0,1,0,1,-87.81355286,41.87948608
222,"FORKS WA",2,1,0,0,1,1,-124.3879929,47.94977951
222,"FORT ATKINSON WI",2,1,0,0,1,1,-88.83695984,42.92907715
222,"FORT COLLINS CO",2,2,0,2,0,2,-105.0858688,40.58546066
222,"FORT LAUDERDALE FL",2,31,8,16,7,31,-80.14283752,26.12309074
222,"FORT MYERS FL",2,5,0,3,2,5,-81.87184143,26.64133644
222,"FORT SMITH AR",2,1,1,0,0,1,-94.39919281,35.3862114
222,"FORT VALLEY GA",2,1,0,1,0,1,-83.88742828,32.5541687
222,"FORT WALTON BEACH FL",2,2,0,1,1,2,-86.61834717,30.40767479
222,"FORT WAYNE IN",2,3,1,2,0,3,-85.13967896,41.07278061
222,"FORT WORTH TX",2,36,5,16,15,36,-97.32135773,32.72562027
222,"FRANKFORT KY",2,2,1,0,1,2,-84.87322235,38.20124054
222,"FREDERICK MD",2,1,0,1,0,1,-77.40981293,39.41444397
222,"FREMONT CA",2,4,0,1,3,4,-121.9740372,37.55101776
222,"FRESNO CA",2,10,2,3,5,10,-119.7739868,36.74755478
222,"FRIDLEY MN",2,1,0,1,0,1,-93.2636261,45.08617401
222,"FULLERTON CA",2,2,1,0,1,2,-117.9268646,33.87014771
222,"GAINESVILLE FL",2,15,3,6,6,15,-82.32462311,29.65203285
222,"GAINESVILLE GA",2,1,0,1,0,1,-83.82389832,34.29787827
222,"GALESBURG IL",2,1,0,1,0,1,-90.37152863,40.9480629
222,"GALLATIN TN",2,1,0,0,1,1,-86.44691467,36.38848495
222,"GARDEN CITY NY",2,1,0,0,1,1,-73.63320923,40.72684097
222,"GARDEN GROVE CA",2,4,2,1,1,4,-117.943718,33.77397156
222,"GARLAND TX",2,1,0,1,0,1,-96.63926697,32.91297531
222,"GARY IN",2,1,0,0,1,1,-87.33873749,41.59325409
222,"GENEVA OH",2,1,0,1,0,1,-80.94763184,41.80530167
222,"GEORGETOWN TX",2,1,0,0,1,1,-97.67801666,30.6329689
222,"GLENDALE CA",2,2,0,1,1,2,-118.2566681,34.1423645
222,"GONZALES LA",2,1,0,0,1,1,-90.92044067,30.23900986
222,"GOOSE CREEK SC",2,2,1,1,0,2,-80.03201294,32.98114395
222,"GRAND FORKS ND",2,2,0,2,0,2,-97.03855133,47.92044067
222,"GRAND JUNCTION CO",2,1,0,1,0,1,-108.5520706,39.06374741
222,"GRAND RAPIDS MI",2,17,4,6,7,17,-85.66797638,42.96317291
222,"GRANITE CITY IL",2,3,0,3,0,3,-90.14891815,38.70147705
222,"GRAPEVINE TX",2,1,0,1,0,1,-97.07859802,32.93464279
222,"GRAY COURT SC",2,1,0,0,1,1,-82.11286926,34.60851669
222,"GREEN BAY WI",2,2,0,0,2,2,-88.01370239,44.51335907
222,"GREENBELT MD",2,9,2,3,4,9,-76.87561035,39.00544357
222,"GREENEVILLE TN",2,1,0,1,0,1,-82.83133698,36.16376495
222,"GREENSBORO NC",2,37,5,14,18,37,-79.79152679,36.0729599
222,"GREENVILLE NC",2,6,2,4,0,6,-77.37215424,35.61170959
222,"GREENVILLE SC",2,29,2,16,11,29,-82.39870453,34.84753418
222,"GREENWOOD IN",2,1,0,1,0,1,-86.10647583,39.61371994
222,"GRIFFIN GA",2,1,0,0,1,1,-84.26403046,33.24713135
222,"GRIFFITH IN",2,1,0,1,0,1,-87.42803955,41.52181625
222,"GROTON CT",2,2,1,0,1,2,-72.07763672,41.3502121
222,"GULF SHORES AL",2,1,1,0,0,1,-87.70103455,30.24625969
222,"GULFPORT MS",2,6,2,3,1,6,-89.09369659,30.37276649
222,"HADDONFIELD NJ",2,2,0,1,1,2,-75.03710937,39.89155197
222,"HAGERSTOWN MD",2,1,0,1,0,1,-77.71956635,39.641819
222,"HALLSTEAD PA",2,2,0,2,0,2,-75.74239349,41.96153259
222,"HAMMOND IN",2,7,1,2,4,7,-87.50006104,41.58346558
222,"HAMMOND LA",2,7,3,2,2,7,-90.46140289,30.50458908
222,"HAMPTON VA",2,2,0,1,1,2,-76.34473419,37.03002548
222,"HANOVER PA",2,1,0,1,0,1,-76.98248291,39.80073929
222,"HARKER HEIGHTS TX",2,3,2,0,1,3,-97.66394806,31.08788109
222,"HARTFORD CT",2,9,0,3,6,9,-72.68445587,41.76383591
222,"HARTLEY IA",2,1,0,1,0,1,-95.4770813,43.18453598
222,"HASTINGS NE",2,3,2,0,1,3,-98.38917542,40.58628845
222,"HATTIESBURG MS",2,6,0,2,4,6,-89.29040527,31.32738686
